source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error
4540564387959921536,258.94148941830605,12.014781363125618,,,21.711464,2.727316,,
4540564422320600960,258.9566404112775,12.03017618386064,0.48781863055329144,0.30513462,19.656557,1.2174435,,
4540564452382422400,258.94084251782755,12.019743132589012,0.7765993953453565,0.19620188,19.012245,1.809763,,
4540564452382424832,258.93271423421044,12.021406693897955,0.25263835270631724,0.31567338,19.753727,1.3239422,,
4540564452382434304,258.9395147061639,12.027459411000526,-0.055836486112006534,0.31818005,19.773458,1.052042,,
4540564456680345856,258.9308693009788,12.023605469668636,0.3389444606194572,0.11015119,18.055597,1.3147507,,
4540564456680348288,258.93570693346845,12.032570127068848,0.8338823377569683,0.19000639,17.613787,1.8449631,,
4540564456681284224,258.9366796376055,12.015557539638245,,,21.059414,1.8138466,,
4540564486742180992,258.95631505574636,12.032958622291753,0.2146281519032573,0.41883108,20.135479,1.4377975,,
4540564486742188288,258.9412503066869,12.037152114634331,0.6881655023223456,0.28807604,19.353697,1.4175758,,
4540564491037614592,258.9558323439054,12.034588037260871,0.6788821298967627,0.49414337,20.225166,1.9597816,,
4540564491037630720,258.9500500003222,12.040553315908044,0.3368201738838976,0.7640903,20.613102,2.0285244,,
4540564491037633280,258.9439789201269,12.036428715228618,0.5869539651158275,0.44509155,20.051962,2.142582,,
4540564491040082688,258.9472377132,12.034480149848887,1.939440067149521,0.04862117,16.196165,1.6706085,,
4540567407319944832,258.9352941549481,12.033946357241218,0.011586586863374,0.123730265,18.32344,0.8148403,,
4540567407319952384,258.929218381964,12.038850040870807,-0.18086104445317558,0.23931949,19.327776,1.2915859,,
4540567411617849344,258.92794873786295,12.029826266246591,1.8146941766583036,0.24532777,19.342209,2.6166039,,
4540567411617849856,258.9285325544139,12.031114633943746,1.9221644432284481,0.118297495,18.075619,2.5226154,,
4540567441679702016,258.94157321868494,12.046061049296261,1.7563747362486213,0.13525638,18.38189,2.4186306,,
4540567445977587072,258.94253142636586,12.04115434585521,0.3454835518829824,0.044931754,16.344854,0.9584875,,
