,source_id,g_abs,bp_rp
0,57983471542881792,10.573447958675555,2.1469898
1,57983471543288064,4.770446988627539,0.80266
2,57983810842899456,8.472570739172374,2.055664
3,61361544922991104,3.934077216289289,0.9889755
4,61361583578293376,10.004665690169702,2.545126
5,61361583579889280,3.833573447282653,1.0048904
6,58358782964424960,3.4087380637846323,1.2422085
7,58358847387179008,9.721058679292945,1.5008945
8,58358847387183104,3.355904384813414,0.940485
9,58358851683901568,4.600581471473371,1.0821981
10,58358886043639808,6.2213110060351,1.3694181
11,58358984826139520,4.087136617499656,0.9749508
12,58359053545613952,9.573136167251501,2.3561115
13,58359092201182848,3.246068392161643,1.6025448
14,58359122265096192,8.156972941869647,1.0783939
15,58359195280397824,12.045528827271498,1.9503765
16,58359225344318976,5.743904601221164,1.1501579
17,58359264000850048,6.329888962918236,1.4353237
18,58359298358518272,4.97760489576816,2.079464
19,869305606958278656,6.014209383027456,1.1206055
20,869305606958279808,5.431881291035255,1.0776186
21,869305710037499904,-2.2078507462597017,0.9946556
22,869305954852450816,6.159886895309187,1.1701517
23,869305954852451456,7.253473703708448,2.16325
24,869305954852451840,4.541801283732653,1.2756615
25,869306019275140736,5.590940199246589,1.2963848
26,869306023570235136,4.133220753647496,1.8055077
27,869306225433574784,10.421559287752025,0.7307606
28,869306225433575552,8.969784654668882,2.0021992
29,869306294153052416,4.339777228946883,1.0926628
30,869306298449835264,8.433375518383677,1.1034088
31,869306332807872640,13.498392235806628,1.9198742
32,869306362872525056,8.986975587289962,2.1559963
33,869306362872525440,4.813088834420537,0.9596119
34,869306362872527232,5.443341797595931,0.95552635
35,869306367169308032,10.10709017460306,2.6228714
36,869306397232261504,6.4431368155330375,1.7082176
37,869306435887082624,10.413133909471485,1.6396046
38,869306465951745920,5.620850810260578,1.0724831
39,869306470246817280,9.964606945066576,1.7735615
40,869306500311489792,7.659722895496689,1.6059532
41,869306504608258432,2.843049650331139,1.0359945
42,869306534671225856,5.638038096880781,1.2915993
43,869306534671231744,6.2137229245314884,1.0586739
44,869306569030975872,6.415932155835595,0.8612995
45,869306573327735424,6.118339673962861,1.1664934
46,869306603390701184,9.603645486940863,1.3897114
47,869306603390702720,8.182265874188284,1.6323795
48,869306603390702976,6.2338377102928035,1.4129715
49,869306607687478400,7.621162142898061,1.7670918
50,869306607688226048,8.482588193089004,2.590849
51,869306637750443648,3.6270374363445335,1.468935
52,869306642045511936,6.908954531663497,1.6280212
53,869306676405256960,7.871939299341385,0.78679276
54,869306676406954624,3.0854827080976612,0.68878174
55,869306676406955520,2.4697854726036255,1.1293478
56,869306706469927424,10.978540994480916,2.33391
57,869306706469928064,4.656720812671097,0.83708
58,869306706469929472,6.0983792551431755,1.2096043
59,869306706469930752,4.751959582364471,0.9180746
60,869306710764988928,8.297792925608356,2.09894
61,869306710764990592,11.312748742496092,1.9386406
62,869306740829663232,5.888449363796138,1.2119694
63,869306740829665280,6.0521310608258965,1.1558161
64,869306775189408256,4.840213293323526,1.4083557
65,869306775189409280,6.476676861900604,1.2955456
66,869306775189409920,4.878528390004462,1.1441336
67,869306775194643840,8.08480276459613,1.121603
68,869306779484455936,10.585623316752338,2.0240765
69,869306779484457728,9.690914007211994,2.764286
70,869306779486916864,9.574883201668374,2.0066051
71,869306809549148672,8.463051160861173,2.3651981
72,869306809549149312,6.7998365138845465,1.5829983
73,869306813844201344,11.220919391437226,1.051981
74,869306813845905152,7.419065580751948,1.6103573
75,869306843908889600,12.303548038353231,2.7331295
76,869306843908890112,4.918394098391666,0.9823065
77,660042194570955520,3.8988179989450806,0.74378204
78,660042224633629824,7.7348723668367665,2.4960003
79,660042258993365760,10.35199418152853,1.6477184
80,660042258993367552,10.244985173981316,2.155264
81,660042258994197504,13.944462452831024,1.939848
82,660042293353109248,6.360716946274515,1.3676548
83,660042293353113984,9.017029953968727,1.5581627
84,660042980547878656,10.094452753206452,2.7307014
85,660042984843659264,3.932191020143506,0.7063894
86,660043019203396480,3.747746202738707,0.817749
87,660043049267359744,5.5116778742525305,2.0568924
88,660043117986842496,8.834928232396962,1.4805889
89,660043186706313600,9.16786473657621,2.124775
90,660043294081303168,6.261697801956135,1.1866379
91,660043770821868288,4.047741059602416,0.8197613
92,660044595455592448,6.350480626669018,1.3096485
93,631797523262170752,6.4685399897701075,1.2320709
94,631797695060870912,6.706818104210356,0.8259506
95,631797763780691712,8.997797363094179,1.2966862
96,631797798140082432,9.115184120302906,0.57351685
97,631797798141688064,11.303204262852269,0.9824333
98,631797866859561600,12.189346359630855,3.2845497
99,631797866859564800,9.743553312617927,2.056507
100,631797866859566848,6.386505741360592,1.4594841
101,631797901219303808,9.646803690929172,1.0192356
102,631797901219308928,9.526731936529536,1.9667034
103,631797901220880000,10.05172751703089,2.0853214
104,631797905514490880,2.5369986576107646,0.72229385
105,631797939874228992,6.877452509778983,1.3714371
106,631798004298524416,9.049847727276234,2.2776222
107,631798042953472768,8.445163102814536,0.8102093
108,631798764507950208,5.769741096788476,1.2087479
109,631799447407542016,9.114905470593861,2.2226105
110,3814106880708882816,10.447474650223434,2.0208607
111,3814106988083432192,7.157167673398508,1.5116816
112,3814107018148098432,10.147238747001904,1.0221138
113,3814107022443171072,3.5116541683185467,0.74517536
114,3814107056802202752,12.393377891010104,0.80412483
115,3814107228601600896,7.656341513387591,1.8299713
116,3814107293026009472,9.743866301813682,2.4044151
117,3814107366040555008,8.125980515003034,1.8803205
118,3814107400400293632,6.729446134976012,1.4566841
119,3814108014580516096,6.309947301501106,1.3730335
